iter	Passed	Remaining
883	5452	715
884	5461	709
885	5471	703
886	5480	698
887	5490	692
888	5499	686
889	5508	680
890	5516	674
891	5526	669
892	5535	663
893	5545	657
894	5554	651
895	5563	645
896	5572	639
897	5582	634
898	5593	628
899	5602	622
900	5612	616
901	5621	610
902	5630	604
903	5643	599
904	5652	593
905	5661	587
906	5671	581
907	5682	575
908	5690	569
909	5700	563
910	5708	557
911	5717	551
912	5727	545
913	5736	539
914	5745	533
915	5757	527
916	5766	521
917	5775	515
918	5784	509
919	5793	503
920	5803	497
921	5812	491
922	5821	485
923	5831	479
924	5841	473
925	5850	467
926	5859	461
927	5868	455
928	5877	449
929	5886	443
930	5895	436
931	5904	430
932	5912	424
933	5922	418
934	5930	412
935	5940	406
936	5949	399
937	5958	393
938	5969	387
939	5980	381
940	5990	375
941	5999	369
942	6008	363
943	6017	356
944	6026	350
945	6035	344
946	6044	338
947	6053	332
948	6063	325
949	6072	319
950	6082	313
951	6093	307
952	6099	300
953	6104	294
954	6109	287
955	6114	281
956	6120	275
957	6124	268
958	6129	262
959	6133	255
960	6137	249
961	6141	242
962	6146	236
963	6151	229
964	6155	223
965	6160	216
966	6164	210
967	6169	203
968	6173	197
969	6178	191
970	6182	184
971	6186	178
972	6191	171
973	6195	165
974	6200	158
975	6204	152
976	6208	146
977	6213	139
978	6217	133
979	6221	126
980	6226	120
981	6230	114
982	6234	107
983	6239	101
984	6244	95
985	6249	88
986	6253	82
987	6258	76
988	6262	69
989	6266	63
990	6271	56
991	6276	50
992	6281	44
993	6285	37
994	6290	31
995	6294	25
996	6299	18
997	6303	12
998	6308	6
999	6312	0
